gods,goddesses
manager,manageress
barons,baronesses
nephew,niece
prince,princess
boars,sows
baron,baroness
stepfathers,stepmothers
wizard,witch
father,mother
stepsons,stepdaughters
sons-in-law,daughters-in-law
dukes,duchesses
boyfriend,girlfriend
fiances,fiancees
dad,mom
shepherd,shepherdess
uncles,aunts
beau,belle
males,females
hunter,huntress
beaus,belles
grandfathers,grandmothers
lads,lasses
daddies,mummies
step-son,step-daughter
masters,mistresses
policeman,policewoman
nephews,nieces
brother,sister
grandfather,grandmother
priest,priestess
hosts,hostesses
landlord,landlady
husband,wife
poet,poetess
landlords,landladies
fathers,mothers
masseur,masseuse
monks,nuns
usher,usherette
hero,heroine
stepson,stepdaughter
postman,postwoman
god,goddess
milkmen,milkmaids
stags,hinds
grandpa,grandma
chairmen,chairwomen
husbands,wives
grandpas,grandmas
stewards,stewardesses
murderer,murderess
manservant,maidservant
men,women
host,hostess
heirs,heiresses
masseurs,masseuses
boy,girl
male,female
son-in-law,daughter-in-law
waiter,waitress
tutors,governesses
priests,priestesses
bachelor,spinster
millionaire,millionairess
steward,stewardess
businessmen,businesswomen
congressman,congresswoman
emperor,empress
duke,duchess
sire,dam
son,daughter
sirs,madams
widower,widow
kings,queens
papas,mamas
grandsons,granddaughters
proprietor,proprietress
monk,nun
headmasters,headmistresses
grooms,brides
heir,heiress
boys,girls
gentleman,lady
uncle,aunt
he,she
king,queen
princes,princesses
policemen,policewomen
governor,matron
fiance,fiancee
step-father,step-mother
waiters,waitresses
mr,mrs
stepfather,stepmother
daddy,mummy
lords,ladies
widowers,widows
emperors,empresses
father-in-law,mother-in-law
abbot,abbess
sir,madam
actor,actress
mr.,mrs.
wizards,witches
actors,actresses
chairman,chairwoman
sorcerer,sorceress
postmaster,postmistress
brothers,sisters
lad,lass
headmaster,headmistress
papa,mama
milkman,milkmaid
heroes,heroines
man,woman
grandson,granddaughter
groom,bride
sons,daughters
congressmen,congresswomen
businessman,businesswoman
boyfriends,girlfriends
dads,moms